"LANGUAGE","Nederlands","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","This message is just to let you know that the mod has been updated.",""
"WHATSNEW_L2","For a detailed list of changes, please visit the Steam Workshop or GitHub.",""
"WHATSNEW_L3","Thank you for your use and support!",""
"MOD_DESCRIPTION","Japanese Style Train Display",""
"NEXT","Next","Next {0}. ({0} is the station name)"
"NOW_STOPPING_AT","Now stopping at","Now stopping at {0}. ({0} is the station name)"
"FOR","For","For {0}. ({0} is the station name)"
"FOR_CIRCULAR","For","For {0}. ({0} is the station name)"
"SETTINGS_GROUPNAME_DISPLAY","Display Related Options",""
"SETTINGS_DISPLAY_WIDTH","Display width",""
"SETTINGS_DISPLAY_ROWDIR","Display row direction (Effective in CJK)",""
"SETTINGS_DISPLAY_ROWDIR_L2R","From left to right",""
"SETTINGS_DISPLAY_ROWDIR_R2L","From right to left",""
"SETTINGS_STATION_NAME_ANGLE","Station name rotated angle (Effective in non-CJK)",""
"SETTINGS_MAXSTATIONNUM","Maximum number of display stations",""
"SETTINGS_TEXT_SHRINKED","Shrink next station text when it is long",""
"SETTINGS_STATION_SUFFIX","Station suffixes to remove",""
"SETTINGS_STATION_SUFFIX_TOOLTIP","If the station name end with these suffixes, they will be removed from the display",""
"SETTINGS_STATION_SUFFIX_WHITELIST","Whitelist of station name suffixes",""
"SETTINGS_STATION_SUFFIX_WHITELISTTOOLTIP","These won't be removed from station names, even if they are in the list of suffixes to remove.",""
"SETTINGS_DISPLAY_VEHICLE_TYPE","Display Vehicle Types",""
"SETTINGS_IS_TRAIN","Train",""
"SETTINGS_IS_METRO","Metro",""
"SETTINGS_IS_MONORAIL","Monorail",""
"SETTINGS_IS_TRAM","Tram",""
"SETTINGS_IS_BUS","Bus",""
"SETTINGS_IS_TROLLEYBUS","Trolleybus",""
"SETTINGS_IS_FERRY","Ferry",""
"SETTINGS_IS_BLIMP","Blimp",""
"SETTINGS_IS_COPTER","Helicopter",""
"SETTINGS_TTS","Enable TTS",""
"SETTINGS_TTS_VOICECHOICE","Select voice",""
"SETTINGS_TTS_TOOLTIP","Enable text-to-speech based station annunciation voice.",""
"SETTINGS_TTS_DEPARTING","Annunciation format when departing from station",""
"SETTINGS_TTS_ARRIVING","Annunciation format when arriving at station",""
"SETTINGS_TTS_FORMATTOOLTIP","{0} - Station name
{1} - Terminal Name
{2} - Line Name
{3} - Line Code (requires TLM mod)",""
"SETTINGS_TTS_NOTAVAILABLE","Sorry, this feature is only available for Windows.",""
"WARNTITLE","Warning!",""
"WARNDETAIL","Train Display has stopped displaying：{1}{0}",""
"WARNTEXT","Failed to detect the start and terminal stations",""
"IGNORE","Ignore",""
"HIDE","Hide Display",""
"SETTINGS_RESETBTN","Reset Settings",""
